MatchName,StrikerName,BatClubName,Inns,overs,x,y,X,Y,BatRuns,batwkts,BattingType,PaceOrSpin,1s,2s,3s,4s,6s,BowlerType,WagonWheel,0s
AusvsNZ,Kane Williamson,New Zealand,1,16.6,216,317,98,784,2,0,RHB,1,0,1,0,0,0,1,11,
AusvsNZ,Glenn Phillips,New Zealand,1,17.1,276,317,122,574,0,0,RHB,1,0,0,0,0,0,1,19,1
AusvsNZ,Glenn Phillips,New Zealand,1,17.2,295,325,146,779,0,1,RHB,1,0,0,0,0,0,1,21,1
AusvsNZ,Kane Williamson,New Zealand,1,17.3,219,371,102,548,4,0,RHB,1,0,0,0,1,0,1,23,
AusvsNZ,Kane Williamson,New Zealand,1,17.4,237,335,66,794,0,0,RHB,1,0,0,0,0,0,1,19,1
AusvsNZ,Kane Williamson,New Zealand,1,17.5,241,370,99,616,0,1,RHB,1,0,0,0,0,0,1,17,0
AusvsNZ,James Neesham,New Zealand,1,17.6,296,337,136,821,1,0,LHB,1,1,0,0,0,0,1,1,
AusvsNZ,James Neesham,New Zealand,1,18.1,345,335,178,789,1,0,LHB,1,1,0,0,0,0,1,21,
AusvsNZ,Tim Seifert,New Zealand,1,18.2,215,320,93,841,1,0,RHB,1,1,0,0,0,0,1,19,
AusvsNZ,James Neesham,New Zealand,1,18.3,386,324,175,828,6,0,LHB,1,0,0,0,0,1,1,20,
AusvsNZ,James Neesham,New Zealand,1,18.4,300,257,136,1077,1,0,LHB,1,1,0,0,0,0,1,20,
AusvsNZ,Tim Seifert,New Zealand,1,18.5,220,285,75,903,1,0,RHB,1,1,0,0,0,0,1,10,
AusvsNZ,James Neesham,New Zealand,1,18.6,388,280,136,1092,0,0,LHB,1,0,0,0,0,0,1,3,1
AusvsNZ,James Neesham,New Zealand,1,18.6,345,331,152,800,2,0,LHB,1,0,1,0,0,0,1,14,
AusvsNZ,Tim Seifert,New Zealand,1,19.1,333,388,199,378,4,0,RHB,1,0,0,0,1,0,2,20,
